tweet_id,created_at_dt,text_display,rag_context,themes_list,primary_label,sentiment_label,llm_urgency_0_3,llm_severity_0_3,status,summary_1l,author,assigned_to,llm_summary,llm_reply_suggestion,routing_team
1813267588560134325,2024-07-16 17:40:56,"J'avais vu juste et il n'aura finalement fallu attendre que quelques heures. <PARA> Free ajoute actuellement les versions HDR de France 2 UHD et France 3 UHD ! <PARA> De mauvais élève, et après de nombreux messages de mécontentements sur l'absence de HDR, <USER> <BRAND:freebox> passe en tête en proposant dorénavant deux versions : SDR et HDR. De quoi satisfaire tout le monde (pour ceux qui ont des problèmes avec le HDR) 🥳 <PARA> France 2 UHD : canal 102 <NL> France 2 UHD HDR : canal 103 <NL> France 3 UHD : canal 104 (ex canal 103) <NL> France 3 UHD HDR : canal 105 <PARA> Dispo suivant la freebox (mettez en commentaire si vous l'avez, ou pas, sur votre Freebox 4K), quelques bugs actuellement (le temps de mettre en place les flux) <PARA> (photo discord jartabul)","On vérifie les paramètres de ligne. Bonjour, nous n'avons pas encore d'annonce officielle concernant l'arrivée de Canal+ en live via Apple TV avec la Freebox Ultra. Restez à l'affût de nos communications pour toute mise à jour. 😊. Un DM avec votre n° client nous permet d’agir vite.","[""Freebox""]",Freebox,positif,1,1,closed,Client satisfait de l'ajout des versions HDR sur Freebox.,ultrakfr,Freebox,Client satisfait de l'ajout des versions HDR sur Freebox.,Merci pour votre retour ! Nous sommes ravis que vous appréciez les nouvelles versions HDR sur votre Freebox. 😊,Freebox
1813579520819286432,2024-07-17 14:20:27,"Le service proximité de <BRAND:free> 1 des plus grosses arnaques de ces dernières années.Incompétents et complètement dépassés.Tu en sais plus qu'eux,tu leur dis ce qui marche pas,tu prends un rendez-vous avec un technicien qui vient que ds 1 semaine! <NL> Pratique pour le télétravail! <NL> Plus de reponse","Bien reçu, on vérifie. Bonjour, nous sommes désolés pour cette expérience. Nos conseillers sont formés pour vous accompagner avec professionnalisme. Pouvez-vous nous préciser votre besoin pour que nous puissions vous orienter vers le bon service? Pouvez-vous nous transmettre votre numéro de ligne ou","[""Freebox""]",Freebox,négatif,3,3,open,Délai d'intervention trop long pour la Freebox.,_Kirikou_,Freebox,Délai d'intervention trop long pour la Freebox.,Désolé pour ce délai. On accélère le traitement de votre demande. Un conseiller vous contacte sous 2h.,Freebox
1813581407668871481,2024-07-17 14:27:56,"<BRAND:free> comment vous joindre ? j'ai été débité pour non restitution de matériel pour une résiliation de ligne que je n'ai pas effectuée moi même, impossible de vous joindre car mes identifiants n existent plus, vos relances sont arrivées directement.",On teste votre route vers le réseau. Merci pour votre message et bonne journée en télétravail! 😊 N'hésitez pas à nous contacter si vous avez besoin d'aide. Pouvez-vous nous transmettre votre numéro de ligne ou identifiant client en message privé pour que nous puissions examiner et corriger cela rapi,"[""Facturation""]",Facturation,négatif,3,3,open,Débité pour matériel non restitué lors d'une résiliation non effectuée.,fannnoche,Facturation,Débité pour matériel non restitué lors d'une résiliation non effectuée.,Désolé pour ce désagrément. Nous allons vérifier cela. Veuillez nous transmettre votre numéro de ligne en MP.,Facturation
1813586665371513000,2024-07-17 14:48:50,<BRAND:free> ma fibre HS depuis 3 semaines <URL>,"Bien reçu, on vérifie. Bonjour, une connexion de 100 Méga permet un débit très rapide, idéal pour le streaming, les téléchargements et une utilisation simultanée de plusieurs appareil... (thème: []). Transmettez-nous votre identifiant client en message privé, svp.","[""Problème réseau""]",Problème réseau,négatif,3,3,open,Problème de fibre depuis 3 semaines,tud0z,Technique,Problème de fibre depuis 3 semaines,Désolé pour ce problème. Merci de nous transmettre votre identifiant client en MP pour que l'on puisse vous aider rapidement.,Technique
1813586931986698575,2024-07-17 14:49:54,<BRAND:free> Vous pouvez m’envoyer les avengers de la fibre s'il vous plaît les mêmes que j’ai chez <USER> ça fait 1mois que j’attend,Merci pour l’info! Merci pour votre retour positif! Nous sommes ravis que notre service vous convienne. N'hésitez pas à nous contacter si vous avez besoin d'aide. 😊. Envoyez-nous votre n° client en DM pour vérification.,"[""Freebox""]",Freebox,négatif,3,2,open,Client attend la fibre depuis 1 mois.,mglp__,Technique,Client attend la fibre depuis 1 mois.,Désolé pour l’attente. Envoyez-nous votre n° client en DM pour vérifier l’état de votre installation.,Technique
1813604838682325386,2024-07-17 16:01:03,"Bon je travaille En remote chez moi et ça fait 1 semaine que j’ai plus de connexion avec <BRAND:free> , ils ont envoyé un technicien qui a dit « on vous envoie un autres tech » et depuis plus de nouvelles, de base je kiff free, <USER> le boss etc etc mais la ,,,.","Bien reçu, on vérifie. Bonjour, nous sommes à votre disposition si vous rencontrez un incident avec votre Freebox. N'hésitez pas à nous en dire plus pour que nous puissions vous aider. 😊. Contactez-nous en DM avec votre identifiant pour un diagnostic de la box.","[""Freebox""]",Freebox,négatif,3,3,open,"Problème de connexion Freebox depuis 1 semaine, technicien absent.",Lorkydey,Technique,"Problème de connexion Freebox depuis 1 semaine, technicien absent.","Bonjour, désolés pour ce contretemps. Nous allons relancer l'équipe technique. Merci de nous fournir votre identifiant en MP pour accélérer le dépannage.",Technique
1813625655374098443,2024-07-17 17:23:46,<BRAND:free> il va falloir revoir la sélection des installateurs de fibre optique !!! J’ai pas commandé un fil pour étendre mon linge … le voisin non plus ! Donc va falloir revenir !!! <URL>,On active une analyse rapide. Merci pour votre retour positif! Nous sommes ravis que l'installation se soit bien passée et que vous puissiez profiter pleinement de votre Freebox. Bon gaming! 😊. Envoyez-nous votre n° client en DM pour vérification.,"[""Freebox""]",Freebox,négatif,3,2,open,"Problème d'installation fibre, fil inapproprié posé.",Marc_Vador,Technique,"Problème d'installation fibre, fil inapproprié posé.",Désolé pour ce contretemps. Nous allons vérifier cela rapidement. Envoyez-nous un MP avec vos infos.,Technique
1813628840624943206,2024-07-17 17:36:25,"<USER> <USER> <USER> <BRAND:freebox> Bonjour <NL> Comptez vous intégrer les versions HDR de FR2 et FR3 sur les applis Oqee TV hors player pop (LG TV) ? Et si oui, sous quel délai approximatif (à temps pour les JO) ? <NL> Nous sommes nombreux à utiliser l'appli sans le décodeur, ce serait très appréciable. <NL> Merci par avance","Pris en compte. Bonjour, nous sommes désolés pour cette désagrément. Pouvez-vous examiner si votre Freebox est bien à jour (paramètres > mise à jour)? Si le incident persiste, un redémarrage complet (bouton arrière pendant 10 secondes) peut aider. Sinon, contactez-nous en MP pour une assistance appr","[""Freebox""]",Freebox,neutre,1,1,closed,Demande d'intégration HDR pour FR2 et FR3 sur Oqee TV.,gurbain69,Freebox,Demande d'intégration HDR pour FR2 et FR3 sur Oqee TV.,"Bonjour ! Merci pour votre demande. Nous étudions actuellement cette intégration. Pour les JO, restez connectés sur nos annonces. Profitez bien de vos chaînes !",Freebox
1813633896136994907,2024-07-17 17:56:31,<USER> <BRAND:freebox> <USER> <NL> 1/2 <NL> Salut Free je désespère..... <NL> Client depuis 20 ans payant à chaque fois le renouvellement de mes box plein tarif sans jamais un geste commercial pour ses vieux clients. <NL> Je subis depuis le moi de juin des coupures intempestifs de ma ligne,"Navrés pour la gêne occasionnée. Bonjour, les 49€ correspondent aux frais de renouvellement ou de remplacement du matériel Freebox. Cela inclut bien le serveur et le répéteur si nécessaire. Nous restons à votre disposition pour plus de précisions. Pouvez-vous nous écrire en message privé avec votre","[""Freebox""]",Freebox,négatif,2,2,open,"Client mécontent depuis 20 ans, subit des coupures et conteste le prix de renouvellement de la box.",Motsen78,Freebox,"Client mécontent depuis 20 ans, subit des coupures et conteste le prix de renouvellement de la box.","Bonjour, nous sommes désolés pour ces désagréments. Un conseiller vous contacte sous 24h pour résoudre ce problème. Merci pour votre fidélité.",Freebox
1813652642113229136,2024-07-17 19:11:00,<BRAND:freebox> de l’aide s’il vous plaît 🙏🏼 <URL>,"On comprend votre agacement et on s’en occupe. Bonjour, vous pouvez nous envoyer un message privé ici même pour que nous puissions vous aider. 😊. Contactez-nous en DM avec votre identifiant afin d’accélérer le traitement.","[""Freebox""]",Freebox,négatif,3,2,open,Demande d'aide urgente pour un problème non précisé.,soulakhey,Freebox,Demande d'aide urgente pour un problème non précisé.,"Bonjour, nous sommes désolés pour ce désagrément. Pour vous aider rapidement, merci de nous envoyer un message privé avec votre identifiant Freebox.",Freebox
1813672057575731665,2024-07-17 20:28:09,"<BRAND:free> <USER> Ne passez pas chez free !!!! Depuis le mois de mai, j'attends qu'ils me rendent ma clé avec laquelle l'installateur free est parti !!","Bien reçu, on vérifie. Merci pour votre retour positif! Nous sommes ravis que l'installation se soit bien passée et que vous puissiez profiter pleinement de votre Freebox. Bon gaming! 😊. Contactez-nous en DM avec votre identifiant afin d’accélérer le traitement.","[""Freebox""]",Freebox,négatif,3,3,open,"Clé oubliée par l'installateur Free, attente prolongée.",coWiqx,Freebox,"Clé oubliée par l'installateur Free, attente prolongée.",Désolé pour cette situation. Contactez-nous en DM avec votre identifiant pour régler cela rapidement.,Freebox
1813684903856468282,2024-07-17 21:19:12,<BRAND:freebox> pourquoi j’ai des bugs de connexion wsh je paye la fibre,"On lance les vérifications à l’instant. Bonjour, pour récupérer votre mot de passe Free Foot, vous pouvez utiliser l'option 'Mot de passe oublié' sur la page de connexion ou contacter notre service client pour assistance. Pouvez-vous nous écrire en message privé avec votre identifiant client?","[""Problème réseau""]",Problème réseau,négatif,2,2,open,Bugs de connexion fibre malgré abonnement payant,Darknig78166491,Technique,Bugs de connexion fibre malgré abonnement payant,Désolé pour ces problèmes de connexion. On vérifie ça de suite. Envoie-nous un MP avec tes infos pour t'aider au mieux !,Technique
1813698687253746036,2024-07-17 22:13:58,"Merci <BRAND:free> de m'avoir fait passer une ""super"" soirée en live et merci pour ces 2 déconnexions pour une mise à jour de la box en pleine soirée... <PARA> En l'espace de 2 mois j'ai déjà eu 2 soucis majeur de connexion avec votre box.... et ça sans JAMAIS aucun geste commercial...","Bien reçu, on vérifie. Bonjour, nous sommes désolés pour cette situation. L'erreur DASH 1302 peut être liée à un incident technique temporaire. Pouvez-vous essayer de redémarrer votre... Contactez-nous en DM avec votre identifiant pour un diagnostic de la box.","[""Freebox""]",Freebox,négatif,2,2,open,"Déconnexion Freebox en soirée, pas de geste commercial.",HugoRLT__,Technique,"Déconnexion Freebox en soirée, pas de geste commercial.",Désolé pour ces déconnexions. On vérifie. Contactez-nous en MP avec votre identifiant pour un diagnostic.,Technique
1813864570282541144,2024-07-18 09:13:08,Bonjour <BRAND:free> je cherche à modifier des mots de passe de boîtes mails qui sont gérés chez vous sur des domaines un peu vieux. Comment peut-on faire ça n'a pas l'air possible via la page webmail free,"Merci pour votre message. Bonjour, pour modifier les mots de passe de vos boîtes mails associées à des domaines anciens, nous vous invitons à contacter notre service client dédié. Vous pouvez nous joindre par téléphone ou via notre assistance en ligne. Merci! Un DM avec votre n° client nous permet d","[""Freebox""]",Freebox,neutre,1,1,closed,Demande d'aide pour modifier le mot de passe d'une boîte mail ancienne.,tontonyoy,SAV Mobile,Demande d'aide pour modifier le mot de passe d'une boîte mail ancienne.,"Bonjour, pour modifier le mot de passe de vos boîtes mails associées à des domaines anciens, nous vous invitons à contacter notre service client dédié. Vous pouvez nous joindre par téléphone ou via notre assistance en ligne. Merci! Un DM avec votre n° client nous permet de vous aider plus efficacement.",SAV Mobile
1813867624843055326,2024-07-18 09:25:16,"<BRAND:freebox> Bonjour, mes parents ont fait leur inscription ( enfin ! ) le 9, et depuis pas de nouvelle toujours bloqué à cette étape, c'est normal ? <URL>","Merci pour votre retour. Bonjour, nous sommes désolés pour cette incident sur votre boîte mail. Nos équipes travaillent activement pour rétablir le service. Nous n'avons pas encore d'es... (thème: []). Pouvez-vous nous transmettre votre numéro de ligne ou identifiant client en message privé pour que","[""Freebox""]",Freebox,négatif,2,2,open,"Problème d'inscription Freebox depuis le 9, pas de suivi.",hnchck,Freebox,"Problème d'inscription Freebox depuis le 9, pas de suivi.","Bonjour, désolé pour ce contretemps. Merci d'envoyer vos identifiants en MP pour investigation.",Freebox
1813886775799984228,2024-07-18 10:41:22,"<BRAND:freebox> c’est normal des signalements pour pertes de synchro (des dizaines de fois par jour), des rendez-vous techniciens annulé sans prévenir le client, une assistance téléphonique qui indique que la ligne est rétablie alors que la Freebox est en étape 3? #freeboxUltra","Merci pour votre retour. Bonjour, une connexion de 100 Méga permet un débit très rapide, idéal pour le streaming, les téléchargements et une utilisation simultanée de plusieurs appareils. Besoin d'autres précisions? Transmettez-nous votre identifiant client en message privé, svp.","[""Freebox""]",Freebox,négatif,3,3,open,Problèmes récurrents de synchronisation et rendez-vous annulés pour Freebox Ultra.,AnthonyPiresG,Technique,Problèmes récurrents de synchronisation et rendez-vous annulés pour Freebox Ultra.,"Bonjour, nous sommes désolés pour ces désagréments. Un technicien vous contactera sous 24h pour résoudre ces problèmes. Merci pour votre patience.",Technique
1813977091500802109,2024-07-18 16:40:15,<BRAND:freebox> je ne comprend pas une amie abonnée chez vous avec la delta depuis 2 ans on lui a offert les frais de migration vers la ultra. Moi je suis abonné chez vous depuis 2009 et a moi on me fait payer les frais de migration vers la ultra inadmissible,"Désolés pour la situation rencontrée. Bonjour, nous apprécions votre fidélité depuis toutes ces années. Nous allons étudier votre demande pour une migration vers une Freebox Pop. Pouvez-vous nous confirmer votre numéro de client ou adresse e-mail en MP pour que nous puissions vous aider? Pouvez-vous","[""Freebox""]",Freebox,négatif,2,2,open,Inégalité tarifaire migration Freebox Delta vers Ultra.,jacquesnote,Freebox,Inégalité tarifaire migration Freebox Delta vers Ultra.,"Bonjour, nous comprenons votre frustration. Pour étudier votre demande, merci de nous transmettre vos coordonnées en MP. Nous apprécions votre fidélité.",Freebox
1814009656504885552,2024-07-18 18:49:39,Depuis le 23/06 je suis en attente d’un rendez-vous pour la fibre chez <BRAND:free> je suis du coup pas encore client et je pense qu’a cette allure là je ne le serai jamais !! Honteux,On regarde cela. Merci pour votre message et bonne journée en télétravail! 😊 N'hésitez pas à nous contacter si vous avez besoin d'aide. Envoyez-nous votre n° client en DM pour vérification.,"[""Freebox""]",Freebox,négatif,3,3,open,"Attente prolongée pour un rendez-vous fibre, risque d'abandon.",Y__htz,Freebox,"Attente prolongée pour un rendez-vous fibre, risque d'abandon.","Nous sommes désolés pour cette attente. Pour accélérer, envoyez-nous votre numéro client en MP. Nous traitons votre demande en priorité.",Freebox
1814030614103785545,2024-07-18 20:12:56,<USER> <BRAND:free> <BRAND:free> dépêchez vous,"Merci pour votre message. Bonjour, vous pouvez nous envoyer un message privé ici même pour que nous puissions vous aider. 😊. Envoyez-nous votre n° client en DM pour vérification.","[""Service après-vente""]",Service après-vente,négatif,3,2,open,Client demande une aide urgente sans préciser le problème.,ariii_miss,SAV Mobile,Client demande une aide urgente sans préciser le problème.,"Bonjour, nous sommes là pour vous aider. Pourriez-vous, s'il vous plaît, nous envoyer un message privé avec plus de détails sur votre problème ? Nous ferons de notre mieux pour vous aider rapidement. 😊",SAV Mobile
1814031065990001071,2024-07-18 20:14:43,<USER> <BRAND:free> moi aussi j'attend le technicien depuis une semaine,"On active une analyse rapide. Merci pour votre patience. Nous espérons que l'intervention de mardi résoudra votre incident. N'hésitez pas à nous faire un retour après le passage du technicien. Transmettez-nous votre identifiant client en message privé, svp.","[""Freebox""]",Freebox,négatif,2,2,closed,Client attend un technicien depuis une semaine.,bavrooo,Technique,Client attend un technicien depuis une semaine.,Nous comprenons votre impatience. Une analyse rapide est en cours. L'intervention est prévue pour mardi. Merci pour votre patience.,Technique
1814034736118927866,2024-07-18 20:29:18,"<BRAND:free> allo,avez vous des nouvelles pour le réseau s'il vous plaît ???","On regarde cela. Bonjour, pourriez-vous préciser ce que vous souhaitez obtenir afin que je puisse vous aider au mieux? (thème: []). Un DM avec votre n° client nous permet d’agir vite.","[""Problème réseau""]",Problème réseau,négatif,2,2,closed,Client inquiet sur l'état du réseau.,GTrotereau,Technique,Client inquiet sur l'état du réseau.,"Bonjour, nous comprenons votre inquiétude. Pour vous aider au mieux, pourriez-vous nous en dire plus sur le problème réseau que vous rencontrez ? N'hésitez pas à nous envoyer un MP avec votre numéro de client.",Technique
1814035247333253492,2024-07-18 20:31:20,<USER> <BRAND:free> Non plus rien depuis 15 mn même Coralie est chez Free en téléphonie et pas de réseau,"Bien reçu, on vérifie. Bonjour, une connexion de 100 Méga permet un débit très rapide, idéal pour le streaming, les téléchargements et une utilisation simultanée de plusieurs appareil... (thème: []). Transmettez-nous votre identifiant client en message privé, svp.","[""Problème réseau""]",Problème réseau,négatif,3,3,open,Problème réseau depuis 15 mn malgré un appel à Coralie Free.,GTrotereau,Technique,Problème réseau depuis 15 mn malgré un appel à Coralie Free.,"Bonjour, désolé pour ce problème réseau. Pouvez-vous vérifier votre installation ou redémarrer votre box ? Si le problème persiste, envoyez-nous votre identifiant client en MP pour une assistance rapide.",Technique
1814081417405497766,2024-07-18 23:34:48,rendez la wifi <BRAND:free>,"Nous prenons en charge votre demande. Bonjour, nous nous excusons pour ce délai. Envoyez-nous votre identifiant client en DM ; on lance l’examen.","[""Freebox""]",Freebox,négatif,2,2,open,Problème de WiFi non résolu rapidement.,gnabxnahc,Freebox,Problème de WiFi non résolu rapidement.,Désolé pour ce problème. Nous allons vérifier votre WiFi. Pourriez-vous nous envoyer votre identifiant client en DM ?,Freebox
1814208069481422980,2024-07-19 07:58:04,<BRAND:freebox> Non mais vous répondre trois jours après... Super le service après vente,"On teste votre route vers le réseau. Bonjour, merci pour votre retour. Nous sommes désolés pour ce désagrément. Pouvez-vous nous préciser sur quel support (Freebox, application mobile, etc.) vous r... Envoyez-nous votre n° client en DM pour vérification.","[""Service après-vente""]",Service après-vente,négatif,2,2,open,Délai de réponse SAV jugé trop long.,Ben29072013,SAV,Délai de réponse SAV jugé trop long.,"Désolé pour l'attente. Nous améliorons nos délais. Pour accélérer, envoyez vos infos en DM.",SAV
1814215859520352478,2024-07-19 08:29:02,<BRAND:freebox> Bonjour j'ai fait installer votre box depuis 10 min. Mais comment on fait pour avoir un être humain en ligne pour assistance ? Impossible au 3244 ni au 1044. Merci,"Nous prenons en charge votre demande. Bonjour, désolé pour ce désagrément. Pouvez-vous préciser le message d'erreur ou le comportement observé? Nous allons vous aider à résoudre cela. Un DM avec votre n° client nous permet d’agir vite.","[""Freebox""]",Freebox,négatif,2,2,open,Difficulté à obtenir une assistance humaine pour la Freebox nouvellement installée.,MasimSaid,Freebox,Difficulté à obtenir une assistance humaine pour la Freebox nouvellement installée.,"Bonjour, nous sommes désolés pour ce contretemps. Pour une assistance rapide, envoyez-nous un message privé avec votre numéro de client. Nous sommes là pour vous aider !",Freebox
1814220122342470038,2024-07-19 08:45:58,"<BRAND:freebox> bonjour Free. Cela fait 1 mois que je n'ai plus internet. Un rendez-vous avait été fixé puis annulé pour, je cite puisque vous deviez intervenir dans ""les plus brefs délais"". <NL> Nous 'avons as la même notion de bref délais. <NL> Que faut-il faire pour avoir internet ?","Bien reçu, on vérifie. Bonjour, nous sommes désolés pour ce désagrément. Pouvez-vous nous préciser le message d'erreur que vous rencontrez? Nous allons examiner cela immédiatement. Un DM avec votre n° client nous permet d’agir vite.","[""Freebox""]",Freebox,négatif,3,3,open,"Problème Freebox non résolu depuis 1 mois, rendez-vous annulé.",Dorban,Technique,"Problème Freebox non résolu depuis 1 mois, rendez-vous annulé.","Bonjour, nous sommes vraiment désolés pour ce problème persistant. Nous allons accélérer le processus. Veuillez nous fournir votre n° client en MP pour une intervention rapide.",Technique
