intent,subintent,tone,urgency_bucket,opener,body,cta,reply,tags,lang,length,source_intent_col,source_theme_col,source_sentiment_col
Box/TV,"[""['Box/TV']""]",neg,normal,On comprend votre agacement et on s’en occupe.,"Bonjour, nous sommes désolés pour ces désagréments. Nous allons transmettre votre retour à notre service dédié pour étudier un geste commercial. Concernant les...",Indiquez-nous en message privé votre n° client et l’heure du souci.,"On comprend votre agacement et on s’en occupe. Bonjour, nous sommes désolés pour ces désagréments. Nous allons transmettre votre retour à notre service dédié pour étudier un geste commercial. Concernant les... Indiquez-nous en message privé votre n° client et l’heure du souci.","[""['box/tv']""],box/tv,negatif,normal",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",neg,normal,Merci pour votre retour.,"Bonjour, nous sommes désolés pour ces désagréments. Nous allons transmettre votre retour à notre service dédié pour étudier un geste commercial. Concernant les coupures, pourriez-vous nous préciser si elles concernent la Freebox ou la ligne téléphonique ? Nous restons à votre disposition pour vous aider.","Transmettez-nous votre identifiant client en message privé, svp.","Merci pour votre retour. Bonjour, nous sommes désolés pour ces désagréments. Nous allons transmettre votre retour à notre service dédié pour étudier un geste commercial. Concernant les coupures, pourriez-vous nous préciser si elles concernent la Freebox ou la ligne téléphonique? Nous restons à votre disposition pour vous aider. Transmettez-nous votre identifiant client en message privé, svp.","[""['box/tv']""],box/tv,negatif,normal",fr,long,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",neg,normal,Merci pour votre retour.,"Bonjour, nous sommes désolés pour ces désagréments. Nous allons transmettre votre retour à notre service dédié pour étudier un geste commercial. Concernant les coupures, pourriez-vous nous préciser si elles concernent la Freebox ou la ligne téléphonique ? Nous restons à votre disposition pour vous aider.",Un DM avec votre n° client nous permet d’agir vite.,"Merci pour votre retour. Bonjour, nous sommes désolés pour ces désagréments. Nous allons transmettre votre retour à notre service dédié pour étudier un geste commercial. Concernant les coupures, pourriez-vous nous préciser si elles concernent la Freebox ou la ligne téléphonique? Nous restons à votre disposition pour vous aider. Un DM avec votre n° client nous permet d’agir vite.","[""['box/tv']""],box/tv,negatif,normal",fr,medium,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",neg,normal,Nous prenons en charge votre demande.,"Bonjour, nous sommes désolés pour ces désagréments. Nous allons transmettre votre retour à notre service dédié pour étudier un geste commercial. Concernant les coupures, pourriez-vous nous préciser si elles concernent la Freebox ou la ligne téléphonique ? Nous restons à votre disposition pour vous aider.",Pouvez-vous nous écrire en message privé avec votre identifiant client ?,"Nous prenons en charge votre demande. Bonjour, nous sommes désolés pour ces désagréments. Nous allons transmettre votre retour à notre service dédié pour étudier un geste commercial. Concernant les coupures, pourriez-vous nous préciser si elles concernent la Freebox ou la ligne téléphonique? Nous restons à votre disposition pour vous aider. Pouvez-vous nous écrire en message privé avec votre identifiant client?","[""['box/tv']""],box/tv,negatif,normal",fr,medium,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",neg,normal,On passe en revue la configuration.,"Bonjour, nous sommes désolés pour ces désagréments. Nous allons transmettre votre retour à notre service dédié pour étudier un geste commercial. Concernant les... (thème: [""['Box/TV']""])",Contactez-nous en DM avec votre identifiant afin d’accélérer le traitement.,"On passe en revue la configuration. Bonjour, nous sommes désolés pour ces désagréments. Nous allons transmettre votre retour à notre service dédié pour étudier un geste commercial. Concernant les... (thème: [""['Box/TV']""]). Contactez-nous en DM avec votre identifiant afin d’accélérer le traitement.","[""['box/tv']""],box/tv,negatif,normal",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",tech,low,"Bien reçu, on vérifie.","Nous sommes désolés pour ce délai de réponse, qui ne correspond pas à nos standards de qualité. Votre demande est maintenant notre priorité. Pouvez-vous nous pr...",Un DM avec votre n° client nous permet d’agir vite.,"Bien reçu, on vérifie. Nous sommes désolés pour ce délai de réponse, qui ne correspond pas à nos standards de qualité. Votre demande est maintenant notre priorité. Pouvez-vous nous pr... Un DM avec votre n° client nous permet d’agir vite.","[""['box/tv']""],box/tv,low,negatif",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",tech,low,Nous prenons en charge votre demande.,"Nous sommes désolés pour ce délai de réponse, qui ne correspond pas à nos standards de qualité. Votre demande est maintenant notre priorité. Pouvez-vous nous pr... (thème: [""['Box/TV']""])",Indiquez-nous en message privé votre n° client et l’heure du souci.,"Nous prenons en charge votre demande. Nous sommes désolés pour ce délai de réponse, qui ne correspond pas à nos standards de qualité. Votre demande est maintenant notre priorité. Pouvez-vous nous pr... (thème: [""['Box/TV']""]). Indiquez-nous en message privé votre n° client et l’heure du souci.","[""['box/tv']""],box/tv,low,negatif",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",neg,low,Nous prenons en charge votre demande.,"Nous sommes désolés pour ce délai de réponse, qui ne correspond pas à nos standards de qualité. Votre demande est maintenant notre priorité. Pouvez-vous nous préciser votre numéro de client ou d'incident pour que nous puissions suivre cela immédiatement ?",Transmettez en DM votre identifiant client et la référence de votre box/TV.,"Nous prenons en charge votre demande. Nous sommes désolés pour ce délai de réponse, qui ne correspond pas à nos standards de qualité. Votre demande est maintenant notre priorité. Pouvez-vous nous préciser votre numéro de client ou d'incident pour que nous puissions suivre cela immédiatement? Transmettez en DM votre identifiant client et la référence de votre box/TV.","[""['box/tv']""],box/tv,low,negatif",fr,medium,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",tech,low,Merci pour votre message.,"Nous sommes désolés pour ce délai de réponse, qui ne correspond pas à nos standards de qualité. Votre demande est maintenant notre priorité. Pouvez-vous nous pr...",Transmettez en DM votre identifiant client et la référence de votre box/TV.,"Merci pour votre message. Nous sommes désolés pour ce délai de réponse, qui ne correspond pas à nos standards de qualité. Votre demande est maintenant notre priorité. Pouvez-vous nous pr... Transmettez en DM votre identifiant client et la référence de votre box/TV.","[""['box/tv']""],box/tv,low,negatif",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",neg,low,Merci pour votre message.,"Nous sommes désolés pour ce délai de réponse, qui ne correspond pas à nos standards de qualité. Votre demande est maintenant notre priorité. Pouvez-vous nous préciser votre numéro de client ou d'incident pour que nous puissions suivre cela immédiatement ?",Envoyez-nous votre n° client en DM pour vérification.,"Merci pour votre message. Nous sommes désolés pour ce délai de réponse, qui ne correspond pas à nos standards de qualité. Votre demande est maintenant notre priorité. Pouvez-vous nous préciser votre numéro de client ou d'incident pour que nous puissions suivre cela immédiatement? Envoyez-nous votre n° client en DM pour vérification.","[""['box/tv']""],box/tv,low,negatif",fr,long,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV'"", ""'Support/SAV/Reclamation']""]",neg,normal,Compris.,"Bonjour, nous sommes désolés pour cette difficulté. Vous pouvez contacter notre assistance via l'application Freebox ou en message privé ici. Nous sommes là pour vous aider !","Transmettez-nous votre identifiant client en message privé, svp.","Compris. Bonjour, nous sommes désolés pour cette difficulté. Vous pouvez contacter notre assistance via l'application Freebox ou en message privé ici. Nous sommes là pour vous aider! Transmettez-nous votre identifiant client en message privé, svp.","[""['box/tv'"", ""'support/sav/reclamation']""],box/tv,negatif,normal",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV'"", ""'Support/SAV/Reclamation']""]",neg,normal,On comprend votre agacement et on s’en occupe.,"Bonjour, nous sommes désolés pour cette difficulté. Vous pouvez contacter notre assistance via l'application Freebox ou en message privé ici. Nous sommes là pour vous aider !",Transmettez en DM votre identifiant client et la référence de votre box/TV.,"On comprend votre agacement et on s’en occupe. Bonjour, nous sommes désolés pour cette difficulté. Vous pouvez contacter notre assistance via l'application Freebox ou en message privé ici. Nous sommes là pour vous aider! Transmettez en DM votre identifiant client et la référence de votre box/TV.","[""['box/tv'"", ""'support/sav/reclamation']""],box/tv,negatif,normal",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV'"", ""'Support/SAV/Reclamation']""]",pro,normal,On mobilise l’équipe technique.,"Bonjour, nous sommes désolés pour cette difficulté. Vous pouvez contacter notre assistance via l'application Freebox ou en message privé ici. Nous sommes là pour vous aider !",Contactez-nous en DM avec votre identifiant afin d’accélérer le traitement.,"On mobilise l’équipe technique. Bonjour, nous sommes désolés pour cette difficulté. Vous pouvez contacter notre assistance via l'application Freebox ou en message privé ici. Nous sommes là pour vous aider! Contactez-nous en DM avec votre identifiant afin d’accélérer le traitement.","[""['box/tv'"", ""'support/sav/reclamation']""],box/tv,negatif,normal",fr,medium,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV'"", ""'Support/SAV/Reclamation']""]",neg,normal,Désolés pour la situation rencontrée.,"Bonjour, nous sommes désolés pour cette difficulté. Vous pouvez contacter notre assistance via l'application Freebox ou en message privé ici. Nous sommes là pour vous aider !",Pouvez-vous nous écrire en message privé avec votre identifiant client ?,"Désolés pour la situation rencontrée. Bonjour, nous sommes désolés pour cette difficulté. Vous pouvez contacter notre assistance via l'application Freebox ou en message privé ici. Nous sommes là pour vous aider! Pouvez-vous nous écrire en message privé avec votre identifiant client?","[""['box/tv'"", ""'support/sav/reclamation']""],box/tv,negatif,normal",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV'"", ""'Support/SAV/Reclamation']""]",neg,normal,On analyse les derniers logs côté service.,"Bonjour, nous sommes désolés pour cette difficulté. Vous pouvez contacter notre assistance via l'application Freebox ou en message privé ici. Nous sommes là pour vous aider !",Indiquez-nous en message privé votre n° client et l’heure du souci.,"On analyse les derniers logs côté service. Bonjour, nous sommes désolés pour cette difficulté. Vous pouvez contacter notre assistance via l'application Freebox ou en message privé ici. Nous sommes là pour vous aider! Indiquez-nous en message privé votre n° client et l’heure du souci.","[""['box/tv'"", ""'support/sav/reclamation']""],box/tv,negatif,normal",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",neg,low,Désolés pour la situation rencontrée.,"Bonjour, nous sommes désolés pour ce désagrément. Pouvez-vous nous indiquer si le incident persiste sur d'autres appareils ? Nous allons examiner cela avec vous.",Contactez-nous en DM avec votre identifiant afin d’accélérer le traitement.,"Désolés pour la situation rencontrée. Bonjour, nous sommes désolés pour ce désagrément. Pouvez-vous nous indiquer si le incident persiste sur d'autres appareils? Nous allons examiner cela avec vous. Contactez-nous en DM avec votre identifiant afin d’accélérer le traitement.","[""['box/tv']""],box/tv,low,negatif",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",neg,low,Merci pour votre retour.,"Bonjour, nous sommes désolés pour ce désagrément. Pouvez-vous nous indiquer si le incident persiste sur d'autres appareils ? Nous allons examiner cela avec vous.",Un DM avec votre n° client nous permet d’agir vite.,"Merci pour votre retour. Bonjour, nous sommes désolés pour ce désagrément. Pouvez-vous nous indiquer si le incident persiste sur d'autres appareils? Nous allons examiner cela avec vous. Un DM avec votre n° client nous permet d’agir vite.","[""['box/tv']""],box/tv,low,negatif",fr,long,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",neg,low,Nous prenons en charge votre demande.,"Bonjour, nous sommes désolés pour ce désagrément. Pouvez-vous nous indiquer si le incident persiste sur d'autres appareils ? Nous allons examiner cela avec vous.",Envoyez-nous votre n° client en DM pour vérification.,"Nous prenons en charge votre demande. Bonjour, nous sommes désolés pour ce désagrément. Pouvez-vous nous indiquer si le incident persiste sur d'autres appareils? Nous allons examiner cela avec vous. Envoyez-nous votre n° client en DM pour vérification.","[""['box/tv']""],box/tv,low,negatif",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",neg,low,"On est là pour vous aider, désolés pour le désagrément.","Bonjour, nous sommes désolés pour ce désagrément. Pouvez-vous nous indiquer si le incident persiste sur d'autres appareils ? Nous allons examiner cela avec vous. (thème: [""['Box/TV']""])",Transmettez en DM votre identifiant client et la référence de votre box/TV.,"On est là pour vous aider, désolés pour le désagrément. Bonjour, nous sommes désolés pour ce désagrément. Pouvez-vous nous indiquer si le incident persiste sur d'autres appareils? Nous allons examiner cela avec vous. (thème: [""['Box/TV']""]). Transmettez en DM votre identifiant client et la référence de votre box/TV.","[""['box/tv']""],box/tv,low,negatif",fr,long,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",neg,low,Navrés pour la gêne occasionnée.,"Bonjour, nous sommes désolés pour ce désagrément. Pouvez-vous nous indiquer si le incident persiste sur d'autres appareils ? Nous allons examiner cela avec vous.","Transmettez-nous votre identifiant client en message privé, svp.","Navrés pour la gêne occasionnée. Bonjour, nous sommes désolés pour ce désagrément. Pouvez-vous nous indiquer si le incident persiste sur d'autres appareils? Nous allons examiner cela avec vous. Transmettez-nous votre identifiant client en message privé, svp.","[""['box/tv']""],box/tv,low,negatif",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV'"", ""'Support/SAV/Reclamation']""]",neu,normal,On vérifie les paramètres de ligne.,Nous sommes désolés pour ces désagréments répétés. Pouvez-vous nous confirmer votre numéro de ligne ou identifiant client en MP pour que nous puissions analyser...,Contactez-nous en DM avec votre identifiant afin d’accélérer le traitement.,On vérifie les paramètres de ligne. Nous sommes désolés pour ces désagréments répétés. Pouvez-vous nous confirmer votre numéro de ligne ou identifiant client en MP pour que nous puissions analyser... Contactez-nous en DM avec votre identifiant afin d’accélérer le traitement.,"[""['box/tv'"", ""'support/sav/reclamation']""],box/tv,negatif,normal",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV'"", ""'Support/SAV/Reclamation']""]",neu,normal,Merci pour votre retour.,Nous sommes désolés pour ces désagréments répétés. Pouvez-vous nous confirmer votre numéro de ligne ou identifiant client en MP pour que nous puissions analyser et résoudre ce incident en urgence ? Nous comprenons votre frustration et ferons tout pour vous aider.,Contactez-nous en DM avec votre identifiant pour un diagnostic de la box.,Merci pour votre retour. Nous sommes désolés pour ces désagréments répétés. Pouvez-vous nous confirmer votre numéro de ligne ou identifiant client en MP pour que nous puissions analyser et résoudre ce incident en urgence? Nous comprenons votre frustration et ferons tout pour vous aider. Contactez-nous en DM avec votre identifiant pour un diagnostic de la box.,"[""['box/tv'"", ""'support/sav/reclamation']""],box/tv,negatif,normal",fr,medium,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV'"", ""'Support/SAV/Reclamation']""]",neg,normal,On active une analyse rapide.,"Nous sommes désolés pour ces désagréments répétés. Pouvez-vous nous confirmer votre numéro de ligne ou identifiant client en MP pour que nous puissions analyser... (thème: [""['Box/TV'"")",Contactez-nous en DM avec votre identifiant afin d’accélérer le traitement.,"On active une analyse rapide. Nous sommes désolés pour ces désagréments répétés. Pouvez-vous nous confirmer votre numéro de ligne ou identifiant client en MP pour que nous puissions analyser... (thème: [""['Box/TV'""). Contactez-nous en DM avec votre identifiant afin d’accélérer le traitement.","[""['box/tv'"", ""'support/sav/reclamation']""],box/tv,negatif,normal",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV'"", ""'Support/SAV/Reclamation']""]",neg,normal,Navrés pour la gêne occasionnée.,Nous sommes désolés pour ces désagréments répétés. Pouvez-vous nous confirmer votre numéro de ligne ou identifiant client en MP pour que nous puissions analyser...,Indiquez-nous en message privé votre n° client et l’heure du souci.,Navrés pour la gêne occasionnée. Nous sommes désolés pour ces désagréments répétés. Pouvez-vous nous confirmer votre numéro de ligne ou identifiant client en MP pour que nous puissions analyser... Indiquez-nous en message privé votre n° client et l’heure du souci.,"[""['box/tv'"", ""'support/sav/reclamation']""],box/tv,negatif,normal",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV'"", ""'Support/SAV/Reclamation']""]",neg,normal,"On est là pour vous aider, désolés pour le désagrément.",Nous sommes désolés pour ces désagréments répétés. Pouvez-vous nous confirmer votre numéro de ligne ou identifiant client en MP pour que nous puissions analyser et résoudre ce incident en urgence ? Nous comprenons votre frustration et ferons tout pour vous aider.,"Transmettez-nous votre identifiant client en message privé, svp.","On est là pour vous aider, désolés pour le désagrément. Nous sommes désolés pour ces désagréments répétés. Pouvez-vous nous confirmer votre numéro de ligne ou identifiant client en MP pour que nous puissions analyser et résoudre ce incident en urgence? Nous comprenons votre frustration et ferons tout pour vous aider. Transmettez-nous votre identifiant client en message privé, svp.","[""['box/tv'"", ""'support/sav/reclamation']""],box/tv,negatif,normal",fr,long,primary_label,themes,sentiment_label
Box/TV,"[""['Reseau/Internet'"", ""'Box/TV']""]",neg,low,On passe en revue la configuration.,"Nous sommes désolés pour cette situation, <USERNAME>. Pouvez-vous me confirmer votre numéro de ligne ou d'abonné en MP pour que je vérifie l'état de l'incident et accélère sa résolution ?","Transmettez-nous votre identifiant client en message privé, svp.","On passe en revue la configuration. Nous sommes désolés pour cette situation, <USERNAME>. Pouvez-vous me confirmer votre numéro de ligne ou d'abonné en MP pour que je vérifie l'état de l'incident et accélère sa résolution? Transmettez-nous votre identifiant client en message privé, svp.","[""['reseau/internet'"", ""'box/tv']""],box/tv,low,negatif",fr,medium,primary_label,themes,sentiment_label
Box/TV,"[""['Reseau/Internet'"", ""'Box/TV']""]",neg,low,Nous prenons en charge votre demande.,"Nous sommes désolés pour cette situation, <USERNAME>. Pouvez-vous me confirmer votre numéro de ligne ou d'abonné en MP pour que je vérifie l'état de l'incident... (thème: [""['Reseau/Internet'"")",Envoyez-nous votre n° client en DM pour vérification.,"Nous prenons en charge votre demande. Nous sommes désolés pour cette situation, <USERNAME>. Pouvez-vous me confirmer votre numéro de ligne ou d'abonné en MP pour que je vérifie l'état de l'incident... (thème: [""['Reseau/Internet'""). Envoyez-nous votre n° client en DM pour vérification.","[""['reseau/internet'"", ""'box/tv']""],box/tv,low,negatif",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Reseau/Internet'"", ""'Box/TV']""]",neg,low,On teste votre route vers le réseau.,"Nous sommes désolés pour cette situation, <USERNAME>. Pouvez-vous me confirmer votre numéro de ligne ou d'abonné en MP pour que je vérifie l'état de l'incident... (thème: [""['Reseau/Internet'"")",Un DM avec votre n° client nous permet d’agir vite.,"On teste votre route vers le réseau. Nous sommes désolés pour cette situation, <USERNAME>. Pouvez-vous me confirmer votre numéro de ligne ou d'abonné en MP pour que je vérifie l'état de l'incident... (thème: [""['Reseau/Internet'""). Un DM avec votre n° client nous permet d’agir vite.","[""['reseau/internet'"", ""'box/tv']""],box/tv,low,negatif",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Reseau/Internet'"", ""'Box/TV']""]",neg,low,Désolés pour la situation rencontrée.,"Nous sommes désolés pour cette situation, <USERNAME>. Pouvez-vous me confirmer votre numéro de ligne ou d'abonné en MP pour que je vérifie l'état de l'incident et accélère sa résolution ?",Transmettez en DM votre identifiant client et la référence de votre box/TV.,"Désolés pour la situation rencontrée. Nous sommes désolés pour cette situation, <USERNAME>. Pouvez-vous me confirmer votre numéro de ligne ou d'abonné en MP pour que je vérifie l'état de l'incident et accélère sa résolution? Transmettez en DM votre identifiant client et la référence de votre box/TV.","[""['reseau/internet'"", ""'box/tv']""],box/tv,low,negatif",fr,medium,primary_label,themes,sentiment_label
Box/TV,"[""['Reseau/Internet'"", ""'Box/TV']""]",neg,low,Merci pour votre retour.,"Nous sommes désolés pour cette situation, <USERNAME>. Pouvez-vous me confirmer votre numéro de ligne ou d'abonné en MP pour que je vérifie l'état de l'incident...",Pouvez-vous nous écrire en message privé avec votre identifiant client ?,"Merci pour votre retour. Nous sommes désolés pour cette situation, <USERNAME>. Pouvez-vous me confirmer votre numéro de ligne ou d'abonné en MP pour que je vérifie l'état de l'incident... Pouvez-vous nous écrire en message privé avec votre identifiant client?","[""['reseau/internet'"", ""'box/tv']""],box/tv,low,negatif",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",neg,normal,Merci pour votre retour.,"Bonjour, nous sommes désolés pour cette interruption. Pouvez-vous redémarrer votre Freebox et examiner si le incident persiste ? Si oui, nous pouvons approfondir les vérifications.",Envoyez-nous votre n° client en DM pour vérification.,"Merci pour votre retour. Bonjour, nous sommes désolés pour cette interruption. Pouvez-vous redémarrer votre Freebox et examiner si le incident persiste? Si oui, nous pouvons approfondir les vérifications. Envoyez-nous votre n° client en DM pour vérification.","[""['box/tv']""],box/tv,negatif,normal",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",pro,normal,Merci pour votre retour.,"Bonjour, nous sommes désolés pour cette interruption. Pouvez-vous redémarrer votre Freebox et examiner si le incident persiste ? Si oui, nous pouvons approfondir les vérifications.",Contactez-nous en DM avec votre identifiant pour un diagnostic de la box.,"Merci pour votre retour. Bonjour, nous sommes désolés pour cette interruption. Pouvez-vous redémarrer votre Freebox et examiner si le incident persiste? Si oui, nous pouvons approfondir les vérifications. Contactez-nous en DM avec votre identifiant pour un diagnostic de la box.","[""['box/tv']""],box/tv,negatif,normal",fr,medium,primary_label,themes,sentiment_label
